Location,Month,Year,Season
"New York, New York",01,2019,Winter
"Hoboken, New Jersey",01,2019,Winter
17 Mile Scenic Drive,01,2019,Winter
Chicago Bean Auth Inc,01,2019,Winter
Disney World: Candlelight Processional at Epcot Center,01,2019,Winter
LOVE Park,01,2019,Winter
Space Needle,01,2019,Winter
Sanibel Island Florida,01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
"Malibu, California",01,2019,Winter
"Niagara Falls, New York",01,2019,Winter
Apple University Village,01,2019,Winter
Poppy Hills Golf Course,01,2019,Winter
Pike Place Market,01,2019,Winter
"Bakersfield, California",01,2019,Winter
"Waikiki, Hawaii",01,2019,Winter
The New York Times,01,2019,Winter
"Trinity Church, Boston",01,2019,Winter
Freeway 15 Las Vegas,01,2019,Winter
Sun Studio,01,2019,Winter
Solomon R. Guggenheim Museum,01,2019,Winter
Republique,01,2019,Winter
Flamingo Las Vegas Hotel & Casino,01,2019,Winter
Warner Brothers Studio,01,2019,Winter
Rocky Mountain National Park,01,2019,Winter
in the middle of nowhere,01,2019,Winter
Grand Canyon West,01,2019,Winter
The Venetian Resort Las Vegas,01,2019,Winter
"Boston, Massachusetts",01,2019,Winter
"Redondo Beach, California",01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
Getty Museum,01,2019,Winter
"Santa Monica, California",01,2019,Winter
"Brooklyn, New York",01,2019,Winter
"McKinney, Texas",01,2019,Winter
Philadelphia Museum of Art,01,2019,Winter
"Pebble Beach, California",01,2019,Winter
"Statue Of Liberty, Liberty Island, New York City",01,2019,Winter
Brooklyn Bridge,01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
"Newark, New Jersey",01,2019,Winter
Epcot - Walt Disney World,01,2019,Winter
"New York, New York",01,2019,Winter
"Big Sur, California",01,2019,Winter
Smithsonian,01,2019,Winter
Quincy Market,01,2019,Winter
Quincy Market,01,2019,Winter
"Washington, District of Columbia",01,2019,Winter
"Alamo Square, San Francisco",01,2019,Winter
Sloan's Ice Cream,01,2019,Winter
National September 11 Memorial & Museum,01,2019,Winter
Valley of Fire State Park,01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
Pacific Coast Highway,01,2019,Winter
Dr Pepper StarCenter McKinney at Craig Ranch,01,2019,Winter
"Wausau, Wisconsin",01,2019,Winter
"Los Angeles, California",01,2019,Winter
"Manhattan, New York",01,2019,Winter
Twisted Turban,01,2019,Winter
New Orleans City Park,01,2019,Winter
"Statue Of Liberty, Liberty Island, New York City",01,2019,Winter
"Wickenburg, Arizona",01,2019,Winter
Rolf's German Restaurant,01,2019,Winter
Rolf's German Restaurant,01,2019,Winter
Devils Golf Course - Death Valley,01,2019,Winter
Taughannock Falls State Park,01,2019,Winter
"Hillwood Estate, Museum & Gardens",01,2019,Winter
"Monument Valley, Grand Junction",01,2019,Winter
Santa Monica Pier-end of Route 66,01,2019,Winter
"McKinney, Texas",01,2019,Winter
The Griffin Observatory,01,2019,Winter
Emerald Bay State Park,01,2019,Winter
Studio Tour at Universal Studios Hollywood,01,2019,Winter
PIER 39,01,2019,Winter
"Chinatown, Boston",01,2019,Winter
Top of the Rock NYC,01,2019,Winter
Central Park East New York,01,2019,Winter
"San Francisco, California",01,2019,Winter
ARIA Resort & Casino,01,2019,Winter
Reflecting Pool,01,2019,Winter
"Cleveland, Ohio",01,2019,Winter
Twin Peaks Summit,01,2019,Winter
"Los Angeles, California",01,2019,Winter
Campanile Thionville-Yutz,01,2019,Winter
"Venice, California",01,2019,Winter
Golden Gate Bridge,01,2019,Winter
Yellowstone National Park,01,2019,Winter
Cassa Hotel,01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
御前崎マリンパーク,01,2019,Winter
PIER 39,01,2019,Winter
Danau Linting,01,2019,Winter
Las Vegas Nevada,01,2019,Winter
ARIA Resort & Casino,01,2019,Winter
"Boston, Massachusetts",01,2019,Winter
"Chinatown, Boston",01,2019,Winter
The Wizarding World of Harry Potter at Universal Studios Hollywood,01,2019,Winter
Zion National Park,01,2019,Winter
"San Diego, California",01,2019,Winter
"Delaware, Ohio",01,2019,Winter
"Long Beach, California",01,2019,Winter
"Long Beach, California",01,2019,Winter
"Times Square, New York City",01,2019,Winter
The Bean,01,2019,Winter
Chicago Riverwalk,01,2019,Winter
"Estes Park, Colorado",01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
Observation Point,01,2019,Winter
Monument Valley,01,2019,Winter
McCarran International Airport,01,2019,Winter
Arizona,01,2019,Winter
"Niagara, Toronto",01,2019,Winter
Hackberry General Store,01,2019,Winter
"Miami, Florida",01,2019,Winter
"Long Beach, California",01,2019,Winter
The Queen Mary,01,2019,Winter
Statue of Liberty,01,2019,Winter
Salvation Mountain,01,2019,Winter
Hollywood Sign View Point,01,2019,Winter
"New York, New York",01,2019,Winter
Boston Children's Museum,01,2019,Winter
The Gum Wall-Post Alley Seattle,01,2019,Winter
Pike Place Market,01,2019,Winter
"The Butcher, The Baker, The Cappuccino Maker",01,2019,Winter
"New York, New York",01,2019,Winter
Twomey Cellars,01,2019,Winter
Valley of Fire State Park,01,2019,Winter
Central Park,01,2019,Winter
Boston City Hall Plaza,01,2019,Winter
"West New York, New Jersey",01,2019,Winter
"Beverly Hills, California",01,2019,Winter
Antelope Canyon,01,2019,Winter
230 Fifth Rooftop Bar/Penthouse,01,2019,Winter
New England Aquarium,01,2019,Winter
Hollywood,01,2019,Winter
Utah,01,2019,Winter
"Seattle, Washington",01,2019,Winter
Hollywood Boulevard,01,2019,Winter
Palos Verdes Nature Preserve,01,2019,Winter
New England Aquarium,01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
"Joshua Tree, California",01,2019,Winter
LAX,01,2019,Winter
"Dumbo Boulders, Manhattan Bridge",01,2019,Winter
Universal Studios Hollywood,01,2019,Winter
"Fort Collins, Colorado",01,2019,Winter
"San Francisco, California",01,2019,Winter
Maggie Daley Park,01,2019,Winter
United States,01,2019,Winter
"North Miami, Florida",01,2019,Winter
"San Miguel, California",01,2019,Winter
"New York, New York",01,2019,Winter
"Gent, Belgium",01,2019,Winter
"New York, New York",01,2019,Winter
"New York, New York",01,2019,Winter
Red Rock Canyon Las Vegas,01,2019,Winter
Grand Park,01,2019,Winter
The Palazzo Las Vegas,01,2019,Winter
"Times Square, New York City",01,2019,Winter
"Las Vegas, Nevada",01,2019,Winter
Stowe Mountain Resort,01,2019,Winter
Arts District of Los Angeles,01,2019,Winter
Malibu Coastline Views,01,2019,Winter
"Times Square, New York City",01,2019,Winter
Paul Bakery,12,2018,Winter
Moon Township,12,2018,Winter
"Boston, Massachusetts",12,2018,Winter
"Garden Grove, California",12,2018,Winter
"Statue Of Liberty, Liberty Island, New York City",12,2018,Winter
"Palace of Fine Arts, San Francisco",12,2018,Winter
NO BAR,12,2018,Winter
"Hoboken, New Jersey",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Times Square, New York City",12,2018,Winter
"Jakarta, Indonesia",12,2018,Winter
Love Sculpture,12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Franconia, New Hampshire",12,2018,Winter
Antelope Canyon,12,2018,Winter
Steven's Pass,12,2018,Winter
"New York, New York",12,2018,Winter
Yosemite National Park,12,2018,Winter
"Frisco, Texas",12,2018,Winter
Prudential Tower Boston,12,2018,Winter
Prudential Tower Boston,12,2018,Winter
"South Lake Tahoe, California",12,2018,Winter
de Young Museum,12,2018,Winter
"Cary, North Carolina",12,2018,Winter
Kennedy Space Center Visitor Complex,12,2018,Winter
Hollywood Walk of Fame,12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Times Square, New York City",12,2018,Winter
Unisphere,12,2018,Winter
"Monterey, California",12,2018,Winter
Red Rock Canyon National Conservation Area,12,2018,Winter
Rockefeller Center,12,2018,Winter
Lake Conway,12,2018,Winter
John F. Kennedy International Airport,12,2018,Winter
"Los Angeles, California",12,2018,Winter
Jane's Carousel,12,2018,Winter
Niagara Falls USA Side,12,2018,Winter
"Boston, Massachusetts",12,2018,Winter
Flagstaff A.Z.,12,2018,Winter
"San Diego, California",12,2018,Winter
"San Diego, California",12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
SPEEDVEGAS,12,2018,Winter
Hollywood Sign View Point,12,2018,Winter
"Tokyo, Japan",12,2018,Winter
Antelope Canyon,12,2018,Winter
"Grand Canyon, Las Vegas !",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Times Square, New York City",12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
"Hoboken, New Jersey",12,2018,Winter
Smorgasburg,12,2018,Winter
"Los Angeles, California",12,2018,Winter
Metropolitan Pavilion,12,2018,Winter
"Union Station, Washington DC",12,2018,Winter
Warner Bros. Studio Tour Hollywood,12,2018,Winter
"Cambridge, Massachusetts",12,2018,Winter
"Naples, Florida",12,2018,Winter
Griffith Observatory,12,2018,Winter
Las Vegas Boulevard,12,2018,Winter
Griffith Observatory,12,2018,Winter
"Biscayne Island, Miami",12,2018,Winter
Supreme Court of the United States,12,2018,Winter
Capitol Building,12,2018,Winter
Grand Canyon National Park,12,2018,Winter
The Napa Valley,01,2018,Winter
Palace of Fine Arts,01,2018,Winter
Miracle Mile Shops Las Vegas,01,2018,Winter
"San Diego, California",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"San Diego, California",12,2018,Winter
Roy's Motel and Café,12,2018,Winter
"San Francisco, California",12,2018,Winter
"Glendale, California",12,2018,Winter
InterContinental Los Angeles Downtown,12,2018,Winter
The Crossings Premium Outlets,12,2018,Winter
"Los Angeles, Califonia",12,2018,Winter
"San Diego, California",12,2018,Winter
Helen Hayes Theatre,12,2018,Winter
"San Diego, California",12,2018,Winter
"Guano Point, Grand Canyon, Arizona",12,2018,Winter
Grand Canyon National Park,12,2018,Winter
"Manhattan, New York",12,2018,Winter
"Wynwood, Florida",12,2018,Winter
Mount Baker Wilderness,12,2018,Winter
Gregorys Coffee,12,2018,Winter
Rocky Steps,12,2018,Winter
Mission Dolores Park,12,2018,Winter
Bouchon Bakery,02,2018,Winter
Back A Yard Caribbean Grill Menlo Park,02,2018,Winter
The Napa Valley,01,2018,Winter
"Union Square, San Francisco",01,2018,Winter
"Sunrise Manor, Nevada",12,2018,Winter
Roy's Motel and Café,12,2018,Winter
Central Park,12,2018,Winter
"San Francisco, California",12,2018,Winter
"South Lake Tahoe, California",12,2018,Winter
Aeroportul International Henri Coanda,12,2018,Winter
Middlebury College,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Las Vegas Strip,12,2018,Winter
The Washington Monument,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
DFW Airport,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
The High Line,12,2018,Winter
"Seattle, Washington",12,2018,Winter
Staples Center,12,2018,Winter
CentrePort/DFW Airport station,12,2018,Winter
Staples Center,12,2018,Winter
Brooklyn Museum,12,2018,Winter
Brooklyn Bridge,12,2018,Winter
Russ & Daughters,12,2018,Winter
Benjamin Franklin Bridge,12,2018,Winter
"New York, New York",12,2018,Winter
Snowdrift Snow Tubing Park,12,2018,Winter
Horseshoe Bend,12,2018,Winter
Clearwater Beach Resorts Florida,12,2018,Winter
The Wizarding World of Harry Potter,12,2018,Winter
Mojave Desert,12,2018,Winter
"Cape Elizabeth, Maine",12,2018,Winter
Top of the Rock NYC,12,2018,Winter
Downtown Container Park,12,2018,Winter
Pike Place Market,12,2018,Winter
"Aliso Viejo, California",12,2018,Winter
Las Vegas Nevada,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
"National Air and Space Museum, Smithsonian Institution",12,2018,Winter
High Roller Vegas,12,2018,Winter
"Grand Prairie, Texas",12,2018,Winter
"Boston, Massachusetts",12,2018,Winter
"Dallas, Texas",12,2018,Winter
"Dallas, Texas",12,2018,Winter
"Petaluma, California",12,2018,Winter
Death Valley National Park,12,2018,Winter
"Las Vegas, Nevada",12,2018,Winter
La Pecora Bianca,12,2018,Winter
"Leggett, California",12,2018,Winter
Horseshoe Bend,12,2018,Winter
The Oculus at the World Trade Center,12,2018,Winter
"Sunnyvale, California",12,2018,Winter
Wall Street Charging Bull,12,2018,Winter
St. George (Staten Island Ferry Terminal),12,2018,Winter
"Ahmedabad, India",12,2018,Winter
Texas,12,2018,Winter
Death Valley National Park,12,2018,Winter
"Mammoth, California",12,2018,Winter
Denny's,12,2018,Winter
"Los Angeles, California",12,2018,Winter
The Wizarding World of Harry Potter,12,2018,Winter
United States,12,2018,Winter
Pike Place Market,12,2018,Winter
"West Springfield, Virginia",12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
The STRAT Las Vegas,12,2018,Winter
Washington Monument National Monument,12,2018,Winter
Lower East Side,12,2018,Winter
The Grove,12,2018,Winter
The Grove,12,2018,Winter
Brooklyn Bridge,12,2018,Winter
"Los Angeles, California",12,2018,Winter
United States,12,2018,Winter
"Miami, Florida",12,2018,Winter
Lower East Side,12,2018,Winter
"Ann Arbor, Michigan",12,2018,Winter
Red Lobster,12,2018,Winter
The Wizarding World of Harry Potter at Universal Studios Hollywood,12,2018,Winter
Santa Monica Beach,12,2018,Winter
"Los Angeles, California",12,2018,Winter
Eden Silk Road Cuisine,12,2018,Winter
Golden Gate Bridge,12,2018,Winter
"Fremont, California",12,2018,Winter
Nom Wah Tea Parlor,12,2018,Winter
"Big Sur, California",12,2018,Winter
Fort Clinch State Park,12,2018,Winter
Palm Beach Polo and Country Club,12,2018,Winter
Rockefeller Center,12,2018,Winter
Bryn Mawr College,12,2018,Winter
"New York, New York",12,2018,Winter
Fisherman's Wharf,12,2018,Winter
Oak Grove Park,12,2018,Winter
"Las Vegas, Nevada",12,2018,Winter
"Philadelphia, Pennsylvania",12,2018,Winter
"Sta Monica, Los Angeles California",12,2018,Winter
Bellagio Las Vegas,12,2018,Winter
"New York, New York",12,2018,Winter
Urban Skillet,12,2018,Winter
Tad's Steak Restaurant Inc,12,2018,Winter
Jacqueline Kennedy Onassis Reservoir,12,2018,Winter
"Swansea, United Kingdom",12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Rockefeller Centre New York City,12,2018,Winter
"Los Angeles, Califonia",12,2018,Winter
Pat's King of Steaks,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Catch NYC,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Bohemian Spirit Restaurant,12,2018,Winter
Wizarding World Of Harry Potter,12,2018,Winter
Rockefeller Center,12,2018,Winter
"Miami Beach, Florida",12,2018,Winter
Golden Theatre,12,2018,Winter
PRINT.,12,2018,Winter
AT&T Stadium,12,2018,Winter
Winchester Mystery House,12,2018,Winter
Taughannock Falls State Park,12,2018,Winter
"Williamsburg, Brooklyn",12,2018,Winter
"Huntington Beach, California",12,2018,Winter
Arizona,12,2018,Winter
"Los Angeles, Califonia",12,2018,Winter
United States Capitol,12,2018,Winter
"Brooklyn, New York",12,2018,Winter
Grand Central Market,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
Fort Worth Stockyards Station,12,2018,Winter
Lincoln Memorial,12,2018,Winter
"Fort Worth, Texas",12,2018,Winter
클라우드 게이트,12,2018,Winter
Golden Gate Bridge,12,2018,Winter
"Tunnel View, Yosemite National Park",12,2018,Winter
The Met Breuer,12,2018,Winter
The High Line,12,2018,Winter
Casa Mono,12,2018,Winter
"Aliso Viejo, California",12,2018,Winter
"Indianapolis, Indiana",12,2018,Winter
Central Park,12,2018,Winter
"New York, New York",11,2018,Fall
"The Westin Washington, D.C. City Center",11,2018,Fall
Joshua Tree National Park,08,2018,Summer
Palm Springs Aerial Tramway,08,2018,Summer
"San Diego, California",08,2018,Summer
"Phoenix, Arizona",12,2018,Winter
"Philadelphia, Pennsylvania",12,2018,Winter
Santa Monica Pier,12,2018,Winter
"Manhattan, New York",12,2018,Winter
"Bryn Mawr, Pennsylvania",12,2018,Winter
"Albuquerque, New Mexico",12,2018,Winter
Brooklyn Bridge,12,2018,Winter
"New York, New York",12,2018,Winter
Golden Gate Bridge,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
"Grand Canyon, Las Vegas !",12,2018,Winter
The Grove,12,2018,Winter
"Philadelphia, Pennsylvania",12,2018,Winter
Columbus Circle,12,2018,Winter
Santa Monica Pier,12,2018,Winter
"Tamarindo, Costa Rica",12,2018,Winter
Fort Worth Stockyards Station,12,2018,Winter
John Hancock Observatory,12,2018,Winter
New Hampshire,12,2018,Winter
Capital One Arena,12,2018,Winter
"Mission District, San Francisco",12,2018,Winter
The Catholic University of America,12,2018,Winter
Solomon R. Guggenheim Museum,12,2018,Winter
"Key West, Florida",12,2018,Winter
Griffith Observatory,12,2018,Winter
"Oklahoma City, Oklahoma",12,2018,Winter
Richard Rodgers Theatre,12,2018,Winter
Barney Greengrass,12,2018,Winter
"Howard County, Maryland",12,2018,Winter
Hollywood Walk of Fame,09,2015,Fall
"Brooklyn, New York",12,2018,Winter
"Tulsa, Oklahoma",12,2018,Winter
"San Francisco, California",12,2018,Winter
The High Line Hotel,12,2018,Winter
"U.S./Mexican Border Between El Paso, TX & Ciudad Juarez, MX",12,2018,Winter
Lincoln Memorial,12,2018,Winter
Terminal 2,12,2018,Winter
"Cape Elizabeth, Maine",12,2018,Winter
"Liberty Island, Statue of Liberty",12,2018,Winter
"Alcatraz, San Francisco Bay",12,2018,Winter
USS Midway Museum,12,2018,Winter
"Dallas, Texas",12,2018,Winter
Dallas Zoo,12,2018,Winter
USS Midway Museum,12,2018,Winter
Griffith Observatory,12,2018,Winter
"Chicago, Illinois",12,2018,Winter
Lucas Oil Stadium,12,2018,Winter
Solomon R. Guggenheim Museum,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
Whitney Museum of American Art,12,2018,Winter
Untitled (at the Whitney Museum),12,2018,Winter
United States Capitol,12,2018,Winter
"Boston, Massachusetts",12,2018,Winter
Lower Antelope Canyon,12,2018,Winter
"Death Valley National Park/Beatty, Nevada",12,2018,Winter
Statue of Liberty,12,2018,Winter
Pancho Villas Restaurant,12,2018,Winter
Uncle Charlie's Piano Lounge,12,2018,Winter
"Times Square, New York City",12,2018,Winter
Apache-Sitgreaves National Forest,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"San Francisco, California",12,2018,Winter
Las Vegas Nevada,12,2018,Winter
"Grand Prairie, Texas",12,2018,Winter
"Los Angeles, California",12,2018,Winter
Staten Island Ferry,12,2018,Winter
Universal Studios Island Of Adventures- Jurassic Park River Adventure,12,2018,Winter
"San Diego, California",12,2018,Winter
"San Diego, California",12,2018,Winter
Hogwarts,12,2018,Winter
Iowa,12,2018,Winter
"Key West, Florida",12,2018,Winter
"New York, New York",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"South Lake Tahoe, California",12,2018,Winter
Hong Kong International Airport 香港國際機場,12,2018,Winter
"Silicon Valley, California",12,2018,Winter
"Philadelphia, Pennsylvania",12,2018,Winter
"Times Square, New York City",12,2018,Winter
"Euless, Texas",12,2018,Winter
"Redwoods, California",12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
"Cape Elizabeth, Maine",12,2018,Winter
"Orlando, Florida",12,2018,Winter
L'Enfant Plaza Metro Station,12,2018,Winter
Little Havana Art District,12,2018,Winter
"Miami Beach, Florida",12,2018,Winter
Mission Dolores Basilica,12,2018,Winter
"San Francisco, California",12,2018,Winter
"Statue Of Liberty, Liberty Island, New York City",12,2018,Winter
Kim Marie's Kitchen,12,2018,Winter
"South Rim of the Grand Canyon, AZ",12,2018,Winter
Tilly's Diner,12,2018,Winter
"Las Vegas, Nevada",12,2018,Winter
Great Wolf Lodge,12,2018,Winter
"Shark River Hills, New Jersey",12,2018,Winter
"Masjid Muhammad DC, The Nation's Mosque",12,2018,Winter
Asbury Park Boardwalk,12,2018,Winter
"Portland, Maine",12,2018,Winter
"Toronto, Ontario",12,2018,Winter
Nassau Bahamas,12,2018,Winter
"Times Square, New York City",12,2018,Winter
"Hoover Dam, Las Vegas, Nevada",12,2018,Winter
Mission Inn Festivel of Lights,12,2018,Winter
Staten Island Manhattan Ferry,12,2018,Winter
Grand Canyon West - Airport,12,2018,Winter
WinStar World Casino and Resort,12,2018,Winter
California's Napa Valley,12,2018,Winter
"Thackerville, Oklahoma",12,2018,Winter
Winstar World Casino Oklahoma,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Independence Hall,12,2018,Winter
Atlantis Bahamas,12,2018,Winter
Atlantis Bahamas,12,2018,Winter
"Reading, Pennsylvania",12,2018,Winter
Monument Valley Navajo Tribal Park,12,2018,Winter
"Attleboro, Massachusetts",12,2018,Winter
Route 66 Flagstaff,12,2018,Winter
Lower Antelope Canyon,12,2018,Winter
Stanford University,12,2018,Winter
"Malibu, California",12,2018,Winter
John F. Kennedy International Airport,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
"MOCA | The Museum of Contemporary Art, Los Angeles",12,2018,Winter
Klyde Warren Park,12,2018,Winter
Downtown LA,12,2018,Winter
Latam Airlines,12,2018,Winter
Disney Springs,12,2018,Winter
Kennedy Space Center Visitor Complex,12,2018,Winter
"San Francisco, California",12,2018,Winter
"Asbury Park, New Jersey",12,2018,Winter
Monument Valley,12,2018,Winter
"Bradley Beach, New Jersey",12,2018,Winter
Knott's Berry Farm,12,2018,Winter
MGM Grand Las Vegas,12,2018,Winter
"New York, New York",12,2018,Winter
"San Francisco, California",12,2018,Winter
"San Francisco, California",12,2018,Winter
Nutella Cafe Chicago,12,2018,Winter
Massachusetts,12,2018,Winter
"Chicago, Illinois",12,2018,Winter
"New York, New York",12,2018,Winter
Apache-Sitgreaves National Forest,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Hells Kitchen,12,2018,Winter
Sundace Square Christmas Tree,12,2018,Winter
Niagara Falls USA Side,12,2018,Winter
Niagara Falls USA Side,12,2018,Winter
"San Francisco, California",12,2018,Winter
Apple Inc.,12,2018,Winter
"Big Sur, California",12,2018,Winter
"Fort Worth, Texas",12,2018,Winter
Mercedes-Benz Stadium,12,2018,Winter
"Fort Worth, Texas",12,2018,Winter
"Fort Worth, Texas",12,2018,Winter
One World Trade Center,12,2018,Winter
John F. Kennedy International Airport,12,2018,Winter
"Las Vegas, Nevada",12,2018,Winter
Yellowstone National Park,12,2018,Winter
New York,12,2018,Winter
Chicago Riverwalk,12,2018,Winter
Mariposa Grove of Giant Sequoias,12,2018,Winter
Grand Canyon National Park,12,2018,Winter
"Kennebunkport, Maine",12,2018,Winter
LACMA Los Angeles County Museum of Art,12,2018,Winter
"Taipei, Taiwan",12,2018,Winter
"Chicago, Illinois",12,2018,Winter
Grand Canyon Skywalk,12,2018,Winter
Hollywood Walk of Fame,12,2018,Winter
"Terminal 2D International Departure, Soekarno-Hatta Int Airport Jakarta",12,2018,Winter
Hollywood Walk of Fame,12,2018,Winter
"Albuquerque, New Mexico",12,2018,Winter
Turner Falls,12,2018,Winter
Changi T3 Departure Hall,12,2018,Winter
Rockefeller Center,12,2018,Winter
"Brooklyn, New York",12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Mercato Stellina at the Market,12,2018,Winter
Battery Park by the Water,12,2018,Winter
"Manhattan, New York",12,2018,Winter
World Trade Center,12,2018,Winter
Eataly NYC Flatiron,12,2018,Winter
Ellen Browning Scripps Park,12,2018,Winter
"New York, New York",12,2018,Winter
"Seattle, Washington",12,2018,Winter
"Southlake, Texas",12,2018,Winter
"Manhattan, New York",12,2018,Winter
"Bahamas, Caraibi",12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
"Los Angeles, California",12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Disney California Adventure Park,10,2018,Fall
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
"Southlake, Texas",12,2018,Winter
"Manhattan, New York",12,2018,Winter
"Wharton School, University of Pennsylvania",12,2018,Winter
Madison Square Park,12,2018,Winter
Death Valley,12,2018,Winter
The Great Smoky Mountains,12,2018,Winter
Florida,12,2018,Winter
Bellagio Las Vegas,12,2018,Winter
Universal Studios Hollywood,12,2018,Winter
"Wickenburg, Arizona",12,2018,Winter
Washington Monument National Monument,12,2018,Winter
Cathedral of San Fernando,12,2018,Winter
"Miami, Florida",12,2018,Winter
"Ripton, Vermont",12,2018,Winter
"Los Angeles, California",12,2018,Winter
Griffith Observatory,12,2018,Winter
"Laguna Beach, California",12,2018,Winter
Top of the Rock NYC,12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Davenport, California",12,2018,Winter
Museum of Pop Culture,12,2018,Winter
Fukasaku of Prince Rupert,12,2018,Winter
Nevada Desert,12,2018,Winter
Zion National Park,12,2018,Winter
CUT Beverly Hills,12,2018,Winter
"New York, New York",12,2018,Winter
"Madison, New Jersey",12,2018,Winter
"Portland, Maine",12,2018,Winter
Madame Tussauds Hollywood,12,2018,Winter
Cavender's,12,2018,Winter
"Washington, District of Columbia",12,2018,Winter
Golden Gate Bridge,12,2018,Winter
Empire State Building,12,2018,Winter
Golden Gate Bridge,12,2018,Winter
"Havard University At Havard Square In Cambridge, MA",12,2018,Winter
"San Francisco, California",12,2018,Winter
"Grand Canyon Village, Arizona",05,2018,Spring
Grand Teton National Park,12,2018,Winter
"Chicago, Illinois",12,2018,Winter
Mickey's Toontown,12,2018,Winter
"Yosemite Valley, Yosemite National Park, California, U.S.",12,2018,Winter
Skydeck Chicago,12,2018,Winter
"New York, New York",12,2018,Winter
"Stone Mountain, Georgia",12,2018,Winter
"Los Angeles, California",12,2018,Winter
Grand Canyon National Park,12,2018,Winter
Starbucks Reserve Roastery & Tasting Room,12,2018,Winter
"Chicago, Illinois",12,2018,Winter
"New York, New York",12,2018,Winter
ICE! & SNOW Tubing - Gaylord Texan,12,2018,Winter
"Austin, Texas",12,2018,Winter
"New York, New York",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Lake Charles, Louisiana",12,2018,Winter
"Los Angeles, California",12,2018,Winter
"Fremont, California",12,2018,Winter
Grand Canyon National Park,12,2018,Winter
"Disneyland, Los Angeles, California",12,2018,Winter
Houston Toyota Center,12,2018,Winter
Mayo Clinic,12,2018,Winter
Antelope Canyon,12,2018,Winter
"Dallas, Texas",12,2018,Winter
"Sequoia National Park, California",12,2018,Winter
Apache-Sitgreaves National Forest,12,2018,Winter
"Malibu, California",12,2018,Winter
United States Capitol,12,2018,Winter
"Chicago, Illinois",12,2018,Winter
"New York, New York",12,2018,Winter
"New York, New York",12,2018,Winter
LACMA Los Angeles County Museum of Art,12,2018,Winter
"Stowe, Vermont",12,2018,Winter
Onboard Emirates A380,12,2018,Winter
Liberty Island,12,2018,Winter
Hijrat Colony And Sultanabad,12,2018,Winter
Lands End,12,2018,Winter
"Hopi Point, Grand Canyon, AZ",12,2018,Winter
Sindh Madressatul Islam University,12,2018,Winter
"New York, New York",12,2018,Winter
"Brooklyn, New York",12,2018,Winter
Brooklyn Bridge,12,2018,Winter
"Los Angeles, California",12,2018,Winter
Statue of Liberty,12,2018,Winter
The STRAT Las Vegas,12,2018,Winter
"New York, New York",12,2018,Winter
"Yosemite Valley, Yosemite National Park, California, U.S.",12,2018,Winter
"Times Square, New York City",12,2018,Winter
"Zabriskie Point, Death Valley",12,2018,Winter
"Chicago, Illinois",12,2018,Winter
"Brooklyn, New York",12,2018,Winter
Capitol Washington DC,12,2018,Winter
Apache-Sitgreaves Observatory,12,2018,Winter
"The Metropolitan Museum of Art, New York",12,2018,Winter
